,,,,Програмска,Економска,,,
Раздео,Глава,Програм,Функција,активност/,класифи-,ОПИС,Укупна средства,
,,,,Пројекат,кација,,,
1,2,3,4,5,6,7,8,
1,,,,,,НАРОДНА СКУПШТИНА,"1,781,786,000",
,,,,,,Извори финансирања за раздео 1,,
,,,,,1,Приходи из буџета,"1,781,786,000",
,1.0,,,,,НАРОДНА СКУПШТИНА,"611,428,000",
,,,,,,Извори финансирања за главу 1.0,,
,,,,,1,Приходи из буџета,"611,428,000",
,,2101,,,,Политички систем,"611,428,000",
,,,,,,"Извршни и законодавни органи, финансијски и","611,428,000",
,,,110,,,,,
,,,,,,фискални послови и спољни послови,,
,,,,1,,Вршење посланичке функције,"611,428,000",
,,,,,411,"Плате, додаци и накнаде запослених (зараде)","275,000,000",
,,,,,412,Социјални доприноси на терет послодавца,"49,226,000",
,,,,,413,Накнаде у натури,"1,000,000",
,,,,,414,Социјална давања запосленима,"1,000,000",
,,,,,415,Накнаде трошкова за запослене,"5,000,000",
,,,,,417,Посланички додатак,"130,000,000",
,,,,,421,Стални трошкови,"100,000",
,,,,,422,Трошкови путовања,"150,000,000",
,,,,,423,Услуге по уговору,"100,000",
,,,,,482,"Порези, обавезне таксе и казне и пенали","1,000",
,,,,,483,Новчане казне и пенали по решењу судова,"1,000",
,,,,,,НАРОДНА СКУПШТИНА - СТРУЧНЕ СЛУЖБЕ,"1,170,358,000",
,1.1,,,,,,,
,,,,,,Извори финансирања за главу 1.1,,
,,,,,1,Приходи из буџета,"1,170,358,000",
,,2101,,,,Политички систем,"1,170,358,000",
,,,130,,,Опште услуге,"1,170,358,000",
,,,,2,,Подршка раду Републичке изборне комисије,"26,047,000",
,,,,,416,Награде запосленима и остали посебни расходи,"22,645,000",
,,,,,421,Стални трошкови,"600,000",
,,,,,422,Трошкови путовања,"1,600,000",
,,,,,423,Услуге по уговору,"800,000",
,,,,,426,Материјал,"100,000",
,,,,,462,Дотације међународним организацијама,"300,000",
,,,,,482,"Порези, обавезне таксе и казне и пенали","1,000",
,,,,,483,Новчане казне и пенали по решењу судова,"1,000",
,,,,,,Стручна и административно – техничка подршка,"1,144,311,000",
,,,,3,,,,
,,,,,,раду посланика,,
,,,,,411,"Плате, додаци и накнаде запослених (зараде)","411,752,000",
,,,,,412,Социјални доприноси на терет послодавца,"73,706,000",
,,,,,413,Накнаде у натури,"1,000",
,,,,,414,Социјална давања запосленима,"3,500,000",
,,,,,415,Накнаде трошкова за запослене,"18,000,000",
,,,,,416,Награде запосленима и остали посебни расходи,"5,000,000",
,,,,,421,Стални трошкови,"179,300,000",
,,,,,422,Трошкови путовања,"16,200,000",
,,,,,423,Услуге по уговору,"127,600,000",
,,,,,424,Специјализоване услуге,"500,000",
,,,,,425,Текуће поправке и одржавање,"77,000,000",
,,,,,426,Материјал,"69,750,000",
,,,,,462,Дотације међународним организацијама,"20,000,000",
,,,,,482,"Порези, обавезне таксе и казне и пенали","1,000",
,,,,,483,Новчане казне и пенали по решењу судова,"1,000",
,,,,,511,Зграде и грађевински објекти,"100,000,000",
,,,,,512,Машине и опрема,"37,000,000",
,,,,,515,Нематеријална имовина,"5,000,000",
,,,,,,,52,
,,,,,,,,
,,,,Програмска,Економска,,,
Раздео,Глава,Програм,Функција,активност/,класифи-,ОПИС,Укупна средства,
,,,,Пројекат,кација,,,
1,2,3,4,5,6,7,8,
2,,,,,,ПРЕДСЕДНИК РЕПУБЛИКЕ,"215,545,000",
,,,,,,Извори финансирања за раздео 2,,
,,,,,1,Приходи из буџета,"215,545,000",
,,2101,,,,Политички систем,"215,545,000",
,,,,,,"Извршни и законодавни органи, финансијски и","215,545,000",
,,,110,,,,,
,,,,,,фискални послови и спољни послови,,
,,,,,,Обављање стручних и других послова у циљу,"215,545,000",
,,,,4,,остваривања функције Председника Републике,,
,,,,,411,"Плате, додаци и накнаде запослених (зараде)","110,000,000",
,,,,,412,Социјални доприноси на терет послодавца,"19,690,000",
,,,,,413,Накнаде у натури,"350,000",
,,,,,414,Социјална давања запосленима,"430,000",
,,,,,415,Накнаде трошкова за запослене,"5,300,000",
,,,,,416,Награде запосленима и остали посебни расходи,"400,000",
,,,,,421,Стални трошкови,"5,700,000",
,,,,,422,Трошкови путовања,"38,520,000",
,,,,,423,Услуге по уговору,"31,702,000",
,,,,,425,Текуће поправке и одржавање,"300,000",
,,,,,426,Материјал,"2,550,000",
,,,,,482,"Порези, обавезне таксе и казне и пенали","2,000",
